m3-7;1467720072.214617;1467720072.130837
m3-6;1467720072.313633;1467720072.230437
m3-5;1467720072.413952;1467720072.330607
m3-9;1467720072.515332;1467720072.432862
m3-8;1467720072.614888;1467720072.533603
m3-7;1467720072.714755;1467720072.632179
m3-6;1467720072.815473;1467720072.732421
m3-5;1467720072.915012;1467720072.831889
m3-9;1467720073.015393;1467720072.934175
m3-8;1467720073.117668;1467720073.035800
m3-7;1467720073.216724;1467720073.133736
m3-6;1467720073.316479;1467720073.233916
m3-5;1467720073.418556;1467720073.334391
m3-9;1467720073.519880;1467720073.436433
m3-8;1467720073.619906;1467720073.537814
m3-7;1467720073.719677;1467720073.636543
m3-6;1467720073.820501;1467720073.736724
m3-5;1467720073.918897;1467720073.835917
m3-9;1467720074.019258;1467720073.937867
m3-8;1467720074.120009;1467720074.039340
m3-7;1467720074.221555;1467720074.138130
m3-6;1467720074.320522;1467720074.237975
m3-5;1467720074.420977;1467720074.337931
m3-9;1467720074.522599;1467720074.440797
m3-8;1467720074.623186;1467720074.541720
m3-7;1467720074.723471;1467720074.640175
m3-6;1467720074.824480;1467720074.740539
m3-5;1467720074.922784;1467720074.839915
m3-9;1467720075.023265;1467720074.941804
m3-8;1467720075.123955;1467720075.043033
m3-7;1467720075.224554;1467720075.141670
m3-6;1467720075.325369;1467720075.242126
m3-5;1467720075.425365;1467720075.342082
m3-9;1467720075.525122;1467720075.443788
m3-8;1467720075.625828;1467720075.545016
m3-7;1467720075.725468;1467720075.643532
m3-6;1467720075.826389;1467720075.743835
m3-5;1467720075.927496;1467720075.844035
m3-9;1467720076.028061;1467720075.946015
m3-8;1467720076.126860;1467720076.046725
m3-7;1467720076.227467;1467720076.145058
m3-6;1467720076.328874;1467720076.245788
m3-5;1467720076.429229;1467720076.345652
m3-9;1467720076.528214;1467720076.447145
m3-8;1467720076.628844;1467720076.548282
m3-7;1467720076.730431;1467720076.647194
m3-6;1467720076.829967;1467720076.747405
m3-5;1467720076.929647;1467720076.846751
m3-9;1467720077.030241;1467720076.949067
m3-8;1467720077.129859;1467720077.049808
m3-7;1467720077.230355;1467720077.148323
m3-6;1467720077.331282;1467720077.248565
m3-5;1467720077.431978;1467720077.348246
m3-9;1467720077.531977;1467720077.450257
m3-8;1467720077.631742;1467720077.551547
m3-7;1467720077.733256;1467720077.650398
m3-6;1467720077.834287;1467720077.750671
m3-5;1467720077.932570;1467720077.849955
m3-9;1467720078.033762;1467720077.952363
m3-8;1467720078.133700;1467720078.052981
m3-7;1467720078.235148;1467720078.151955
m3-6;1467720078.334119;1467720078.251678
m3-5;1467720078.434533;1467720078.351451
m3-9;1467720078.535036;1467720078.453584
m3-8;1467720078.634752;1467720078.554813
m3-7;1467720078.736794;1467720078.653603
m3-6;1467720078.836698;1467720078.753814
m3-5;1467720078.935560;1467720078.853099
m3-9;1467720079.037863;1467720078.955598
m3-8;1467720079.136757;1467720079.056369
m3-7;1467720079.238182;1467720079.155373
m3-6;1467720079.337821;1467720079.255065
m3-5;1467720079.439107;1467720079.355418
m3-9;1467720079.539964;1467720079.457612
m3-8;1467720079.638625;1467720079.558475
m3-7;1467720079.739235;1467720079.656929
m3-6;1467720079.839041;1467720079.757262
m3-5;1467720079.939444;1467720079.857066
m3-9;1467720080.039936;1467720079.959138
m3-8;1467720080.140596;1467720080.060336
m3-7;1467720080.241248;1467720080.158913
m3-6;1467720080.341057;1467720080.259246
m3-5;1467720080.441468;1467720080.359172
m3-9;1467720080.543574;1467720080.461976
m3-8;1467720080.642560;1467720080.562686
m3-7;1467720080.743122;1467720080.661049
m3-6;1467720080.843124;1467720080.761382
m3-5;1467720080.944977;1467720080.861857
m3-9;1467720081.045550;1467720080.963655
m3-8;1467720081.144488;1467720081.064334
m3-7;1467720081.245120;1467720081.162972
m3-6;1467720081.345060;1467720081.263244
m3-5;1467720081.447056;1467720081.363597
m3-9;1467720081.545843;1467720081.465394
m3-8;1467720081.646496;1467720081.566684
m3-7;1467720081.747138;1467720081.665077
m3-6;1467720081.846976;1467720081.765594
m3-5;1467720081.947365;1467720081.865245
m3-9;1467720082.050075;1467720081.967774
m3-8;1467720082.148480;1467720082.068729
m3-7;1467720082.248989;1467720082.167091
m3-6;1467720082.348926;1467720082.267364
m3-5;1467720082.449314;1467720082.367228
m3-9;1467720082.551178;1467720082.469300
m3-8;1467720082.650374;1467720082.570529
m3-7;1467720082.751814;1467720082.669502
m3-6;1467720082.850928;1467720082.769286
m3-5;1467720082.951962;1467720082.869517
m3-9;1467720083.051754;1467720082.971650
m3-8;1467720083.152755;1467720083.072269
m3-7;1467720083.252061;1467720083.170937
m3-6;1467720083.353720;1467720083.271697
m3-5;1467720083.453222;1467720083.371226
m3-9;1467720083.555443;1467720083.473695
m3-8;1467720083.654331;1467720083.574435
m3-7;1467720083.755776;1467720083.673470
m3-6;1467720083.854789;1467720083.773284
m3-5;1467720083.955207;1467720083.873118
m3-9;1467720084.056550;1467720083.975373
m3-8;1467720084.155295;1467720084.076053
m3-7;1467720084.257909;1467720084.175087
m3-6;1467720084.357740;1467720084.275115
m3-5;1467720084.457733;1467720084.374766
m3-9;1467720084.558857;1467720084.477204
m3-8;1467720084.657278;1467720084.577975
m3-7;1467720084.757910;1467720084.676277
m3-6;1467720084.859592;1467720084.777251
m3-5;1467720084.959861;1467720084.876658
m3-9;1467720085.058456;1467720084.978425
m3-8;1467720085.159870;1467720085.080203
m3-7;1467720085.259769;1467720085.178200
m3-6;1467720085.361597;1467720085.278899
m3-5;1467720085.460121;1467720085.378367
m3-9;1467720085.560509;1467720085.480287
m3-8;1467720085.661136;1467720085.581454
m3-7;1467720085.760817;1467720085.680000
m3-6;1467720085.862503;1467720085.780669
m3-5;1467720085.962033;1467720085.880168
m3-9;1467720086.062494;1467720085.982026
m3-8;1467720086.163639;1467720086.083530
m3-7;1467720086.262778;1467720086.181923
m3-6;1467720086.365339;1467720086.282409
m3-5;1467720086.464594;1467720086.381968
m3-9;1467720086.563409;1467720086.483796
m3-8;1467720086.665752;1467720086.585666
m3-7;1467720086.764782;1467720086.683510
m3-6;1467720086.866630;1467720086.784392
m3-5;1467720086.966559;1467720086.883891
m3-9;1467720087.065405;1467720086.985658
m3-8;1467720087.166712;1467720087.087375
m3-7;1467720087.266661;1467720087.185341
m3-6;1467720087.366587;1467720087.285644
m3-5;1467720087.467023;1467720087.385539
m3-9;1467720087.567388;1467720087.487550
m3-8;1467720087.668643;1467720087.589267
m3-7;1467720087.768655;1467720087.687264
m3-6;1467720087.869481;1467720087.787658
m3-5;1467720087.968921;1467720087.887248
m3-9;1467720088.070313;1467720087.989533
m3-8;1467720088.170635;1467720088.090610
m3-7;1467720088.269690;1467720088.188973
m3-6;1467720088.370453;1467720088.289153
m3-5;1467720088.472262;1467720088.389506
m3-9;1467720088.571274;1467720088.491090
m3-8;1467720088.672406;1467720088.592654
m3-7;1467720088.771596;1467720088.690651
m3-6;1467720088.871516;1467720088.790954
m3-5;1467720088.973397;1467720088.891002
m3-9;1467720089.074235;1467720088.993165
m3-8;1467720089.173509;1467720089.094455
m3-7;1467720089.273556;1467720089.192513
m3-6;1467720089.375873;1467720089.293243
m3-5;1467720089.473828;1467720089.392680
m3-9;1467720089.576119;1467720089.495179
m3-8;1467720089.676744;1467720089.596530
m3-7;1467720089.777129;1467720089.694832
m3-6;1467720089.877469;1467720089.795257
m3-5;1467720089.975790;1467720089.894572
m3-9;1467720090.076164;1467720089.996583
m3-8;1467720090.176876;1467720090.097720
